date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday,Holidays
Aug-21,0,2,1,0,1,0,1,0,0,0,2,0,0,2,1,0,0,1,5,0,0,0,0,0,0,1,1,0,1,1,2,1,1,1,0,1,26
Sep-21,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,4,1,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,31
Oct-21,1,0,1,0,1,0,0,1,1,3,0,0,0,4,1,2,0,1,5,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,28
Nov-21,2,1,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,2,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,26
Dec-21,3,4,4,4,1,1,1,2,1,0,0,0,0,1,1,0,2,3,7,3,0,6,0,0,4,4,3,2,1,3,1,0,0,3,0,3,68
Jan-22,2,4,1,3,2,8,1,1,1,1,2,0,0,2,2,2,1,2,7,1,0,0,0,0,2,2,2,1,1,2,1,3,1,1,0,1,60
Feb-22,1,0,1,0,0,1,0,0,0,3,2,0,0,2,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22
Mar-22,0,1,0,0,1,1,0,0,2,0,1,0,0,1,1,0,0,0,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
Apr-22,0,2,2,3,1,0,1,2,3,1,1,0,0,0,0,1,4,1,6,0,0,8,0,0,3,1,1,4,3,3,1,2,1,3,0,0,58
May-22,1,1,1,0,2,2,3,2,1,1,3,0,0,3,1,0,1,0,6,2,0,4,5,0,2,1,2,3,1,1,5,4,5,1,0,3,67
Jun-22,2,2,0,0,2,1,1,1,1,1,0,0,0,1,0,1,2,0,7,0,0,2,0,0,3,1,2,2,2,1,1,1,0,2,0,0,39
Jul-22,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,2,6,5,0,0,5,34
Aug-22,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,20
Sep-22,1,0,1,0,0,0,0,0,1,1,2,0,0,4,0,1,0,0,4,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,22
Oct-22,1,0,1,0,1,0,0,1,1,3,1,0,0,3,2,2,0,1,5,0,0,11,0,0,0,1,1,0,0,0,1,2,1,1,0,0,40
Nov-22,2,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,23
Dec-22,2,3,3,3,1,1,1,2,1,0,0,0,0,1,1,0,2,3,7,2,0,8,0,0,4,3,3,2,1,3,2,0,0,3,0,3,65
Jan-23,3,3,2,3,2,8,1,1,1,4,3,0,0,5,2,5,1,2,6,2,0,0,0,0,2,2,2,1,1,2,5,3,1,1,0,1,75
Feb-23,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Mar-23,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,4,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
Apr-23,0,2,2,3,1,0,1,2,3,1,1,0,0,0,0,1,4,2,7,0,0,10,6,0,3,1,1,4,3,3,3,6,3,3,0,3,79
May-23,1,2,1,0,2,2,4,3,1,1,3,0,0,3,1,0,3,1,6,1,0,3,0,0,3,1,3,5,3,1,2,1,2,1,0,0,60
Jun-23,1,0,0,0,2,1,0,0,1,1,0,0,0,1,0,1,0,0,7,0,0,0,4,0,2,1,1,0,0,1,2,4,3,2,0,4,39
Jul-23,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,17
Aug-23,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,20
Sep-23,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,4,2,0,7,2,0,0,0,0,0,0,0,2,1,0,0,0,0,28
Oct-23,1,0,1,0,1,0,0,1,1,3,1,0,0,2,2,2,0,1,5,0,0,7,0,0,0,1,1,0,0,0,0,1,1,1,0,0,33
Nov-23,3,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,23
Dec-23,1,2,2,2,1,1,1,2,1,0,0,0,0,1,1,0,2,3,7,1,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,3,58
Jan-24,2,2,1,2,2,8,1,1,1,1,2,0,0,1,2,1,1,2,6,1,0,0,0,0,2,1,2,1,1,2,1,3,1,1,0,1,53
Feb-24,1,0,1,0,0,1,0,0,2,3,3,0,0,4,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28
Mar-24,0,3,1,1,1,1,0,1,2,0,1,0,0,1,1,0,2,2,6,2,0,3,0,0,2,2,0,3,2,1,1,0,0,2,0,0,41
Apr-24,0,1,1,2,0,0,1,1,1,1,1,0,0,0,0,1,2,0,5,0,0,8,4,0,1,1,1,1,1,2,2,4,4,1,0,3,50
May-24,1,2,1,0,3,2,4,3,2,1,4,0,0,4,1,0,3,1,6,1,0,4,0,0,3,1,4,5,3,1,2,3,2,2,0,0,69
Jun-24,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,8,0,0,2,6,0,2,1,0,0,0,1,3,5,4,1,0,4,44
Jul-24,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,14
Aug-24,0,2,1,0,1,0,1,0,0,0,2,0,0,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,21
Sep-24,1,0,1,0,0,0,0,0,1,1,3,0,0,3,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,20
